tencent jit distribution
0.0 	2
6.93889390391e-18 	2
0.001 	3
0.001 	4
0.001 	10
0.001 	11
0.002 	12
0.002 	15
0.003 	16
0.003 	18
0.003 	21
0.004 	22
0.004 	27
0.004 	28
0.005 	28
0.005 	31
0.005 	33
0.006 	35
0.006 	37
0.007 	38
0.007 	38
0.007 	38
0.007 	41
0.008 	41
0.008 	43
0.008 	44
0.009 	44
0.009 	45
0.009 	45
0.01 	50
0.01 	53
0.011 	55
0.011 	56
0.012 	59
0.012 	62
0.013 	62
0.013 	65
0.013 	65
0.014 	66
0.014 	69
0.014 	69
0.015 	70
0.015 	72
0.015 	73
0.016 	73
0.016 	75
0.016 	75
0.017 	75
0.017 	77
0.017 	77
0.018 	78
0.018 	79
0.018 	80
0.019 	81
0.019 	82
0.019 	82
0.02 	83
0.02 	84
0.021 	85
0.021 	86
0.022 	86
0.022 	87
0.022 	88
0.023 	89
0.023 	89
0.023 	90
0.024 	90
0.024 	91
0.025 	91
0.026 	92
0.026 	93
0.027 	94
0.027 	95
0.027 	95
0.028 	97
0.029 	98
0.029 	98
0.03 	99
0.033 	99
0.039 	100

alibaba jit distribution
0.0 	2
3.46944695195e-18 	6
0.001 	10
0.001 	18
0.001 	18
0.002 	21
0.002 	26
0.002 	36
0.002 	37
0.003 	38
0.003 	43
0.003 	49
0.003 	49
0.004 	53
0.004 	55
0.004 	57
0.005 	59
0.005 	62
0.005 	63
0.006 	63
0.006 	65
0.006 	69
0.007 	69
0.007 	70
0.007 	73
0.008 	74
0.008 	75
0.008 	77
0.009 	79
0.009 	81
0.009 	82
0.01 	83
0.01 	84
0.01 	85
0.011 	87
0.012 	87
0.012 	88
0.013 	88
0.013 	90
0.013 	91
0.014 	91
0.014 	92
0.014 	93
0.014 	93
0.015 	94
0.015 	94
0.015 	95
0.016 	96
0.018 	96
0.018 	97
0.02 	97
0.021 	98
0.025 	99
0.026 	99
0.032 	100

local jit distribution
0.0 	0
2.22044604925e-16 	0
0.01 	3
0.01 	3
0.02 	5
0.02 	5
0.03 	7
0.04 	7
0.04 	9
0.05 	10
0.05 	10
0.06 	11
0.06 	13
0.06 	13
0.07 	14
0.07 	15
0.08 	15
0.08 	16
0.08 	18
0.09 	19
0.09 	21
0.1 	21
0.1 	22
0.11 	24
0.12 	25
0.12 	26
0.13 	26
0.13 	28
0.14 	28
0.14 	29
0.14 	29
0.15 	31
0.15 	31
0.15 	32
0.16 	32
0.16 	32
0.17 	33
0.18 	34
0.18 	35
0.18 	35
0.19 	36
0.19 	36
0.2 	36
0.21 	37
0.22 	37
0.22 	37
0.23 	38
0.23 	39
0.23 	40
0.24 	40
0.24 	41
0.25 	41
0.25 	41
0.26 	42
0.26 	42
0.26 	43
0.27 	43
0.27 	44
0.28 	44
0.28 	45
0.29 	45
0.29 	46
0.3 	47
0.3 	47
0.31 	48
0.31 	48
0.32 	49
0.33 	49
0.33 	50
0.33 	51
0.34 	51
0.34 	53
0.35 	53
0.35 	54
0.36 	55
0.36 	55
0.37 	56
0.37 	57
0.38 	58
0.38 	58
0.39 	58
0.4 	59
0.4 	61
0.41 	61
0.42 	62
0.43 	62
0.43 	62
0.44 	63
0.45 	63
0.46 	63
0.47 	64
0.47 	64
0.48 	64
0.49 	65
0.49 	65
0.49 	66
0.51 	66
0.51 	66
0.51 	67
0.52 	67
0.52 	67
0.52 	68
0.53 	68
0.53 	69
0.54 	70
0.56 	70
0.57 	71
0.58 	71
0.59 	72
0.59 	72
0.61 	72
0.62 	73
0.63 	74
0.63 	74
0.64 	74
0.65 	75
0.66 	75
0.67 	75
0.67 	76
0.68 	76
0.69 	76
0.72 	77
0.74 	77
0.76 	77
0.79 	78
